searge,name,side,desc
func_110198_t,increaseTemper,2,Method to increase temper on this horse entity.
func_110199_f,openGUI,2,Method to open GUI on this horse entity.
func_110202_bQ,getHorseVariant,2,Gets the horse variant of this horse entity.
func_110204_cc,isEatingHaystack,2,Checks if this horse entity is eating haystack.
func_110206_u,setJumpPower,2,Sets the jump power of this horse entity.
func_110207_m,setChested,2,Sets the chested of this horse entity.
func_110208_b,setHorseWatchableBoolean,2,Sets the horse watchable boolean of this horse entity.
func_110209_cd,isRearing,2,Checks if this horse entity is rearing.
func_110212_cp,getVariantTexturePaths,2,Gets the variant texture paths of this horse entity.
func_110213_b,setOwnerName,2,Sets the owner name of this entity/block.
func_110214_p,setHorseType,2,Sets the horse type of this horse entity.
func_110215_cj,getHorseJumpStrength,2,Gets the horse jump strength of this horse entity.
func_110216_r,spawnHorseParticles,2,"""Spawns particles for the horse entity. par1 tells whether to spawn hearts. If it is false, it spawns smoke."""
func_110217_cl,getAngrySoundName,2,Gets the angry sound name of this horse entity.
func_110218_cm,getMaxTemper,2,Gets the max temper of this horse entity.
func_110219_q,setRearing,2,Sets the rearing of this horse entity.
func_110220_cK,makeHorseRear,2,Method to make horse rear on this horse entity.
func_110221_n,setHasReproduced,2,Sets the has reproduced of this horse entity.
func_110223_p,getRearingAmount,2,Gets the rearing amount of this horse entity.
func_110224_ci,dropChests,2,Method to drop chests on this horse entity.
func_110227_p,setEatingHaystack,2,Sets the eating haystack of this horse entity.
func_110228_bR,isAdultHorse,2,Checks if this horse entity is adult horse.
func_110231_cz,makeHorseRearWithSound,2,Method to make horse rear with sound on this horse entity.
func_110233_w,getHorseWatchableBoolean,2,Gets the horse watchable boolean of this horse entity.
func_110234_j,setHorseTamed,2,Sets the horse tamed of this horse entity.
func_110235_q,setHorseVariant,2,Sets the horse variant of this horse entity.
func_110238_s,setTemper,2,Sets the temper of this horse entity.
func_110240_a,dropItemsInChest,2,Method to drop items in chest on this horse entity.
func_110243_cf,getHasReproduced,2,Checks if the has reproduced.
func_110244_cA,dropChestItems,2,Method to drop chest items on this horse entity.
func_110246_bZ,isHorseJumping,2,Checks if this horse entity is horse jumping.
func_110247_cG,setHorseTexturePaths,2,Sets the horse texture paths of this horse entity.
func_110248_bS,isTame,2,Checks if this horse entity is tame.
func_110249_cI,openHorseMouth,2,Method to open horse mouth on this horse entity.
func_110250_a,getClosestHorse,2,Gets the closest horse of this horse entity.
func_110251_o,setHorseSaddled,2,Sets the horse saddled of this horse entity.
func_110252_cg,getTemper,2,Gets the temper of this horse entity.
func_110254_bY,getHorseSize,2,Gets the horse size of this horse entity.
func_110255_k,setHorseJumping,2,Sets the horse jumping of this horse entity.
func_110257_ck,isHorseSaddled,2,Checks if this horse entity is horse saddled.
func_110258_o,getGrassEatingAmount,2,Gets the grass eating amount of this horse entity.
func_110260_d,getHorseArmorIndex,2,"0 = iron, 1 = gold, 2 = diamond"
func_110261_ca,isChested,2,Checks if this horse entity is chested.
func_110262_ch,prepareChunkForSpawn,2,Method to prepare chunk for spawn on this horse entity.
func_110263_g,setTamedBy,2,Sets the tamed bY of this horse entity.
func_110264_co,getHorseTexture,2,Gets the horse texture of this horse entity.
func_110265_bP,getHorseType,2,returns the horse type
func_110298_a,displayGUIHorse,2,Method to display GUI horse on this player.
func_110299_g,getLocationCape,2,Gets the location cape of this entity/block.
func_110300_d,getSkinUrl,2,Gets the skin url of this entity/block.
func_110301_a,getDownloadImage,2,Gets the download image of this entity/block.
func_110302_j,setupCustomSkin,2,Sets the custom skin of this entity/block.
func_110303_q,getLocationCape,2,Gets the location cape of this abstract client player.
func_110304_a,getDownloadImageSkin,2,Gets the download image skin of this abstract client player.
func_110305_h,getLocationSkull,2,Gets the location skull of this entity/block.
func_110306_p,getLocationSkin,2,Gets the location skin of this abstract client player.
func_110307_b,getDownloadImageCape,2,Gets the download image cape of this entity/block.
func_110308_e,getCapeUrl,2,Gets the cape url of this entity/block.
func_110309_l,getTextureSkin,2,Gets the texture skin of this entity/block.
func_110310_o,getTextureCape,2,Gets the texture cape of this entity/block.
func_110311_f,getLocationSkin,2,Gets the location skin of this abstract client player.
func_110317_t,isRidingHorse,2,Checks if this player sp entity is riding horse.
func_110319_bJ,getHorseJumpPower,2,Gets the horse jump power of this player sp entity.
func_110430_a,setEntityActionState,2,Sets the entity action state of this player mp entity.
func_110431_a,getLaunchedVersion,2,Gets the launched version of this entity/block.
func_110432_I,getSession,2,Gets the session of this minecraft.
func_110434_K,getTextureManager,2,Gets the texture manager of this minecraft.
func_110435_P,addDefaultResourcePack,2,Method to add default resource pack on this minecraft.
func_110436_a,refreshResources,2,Method to refresh resources on this minecraft.
func_110437_J,getProxy,2,Gets the proxY of this minecraft.
func_110438_M,getResourcePackRepository,2,Gets the resource pack repositionitorY of this minecraft.
func_110439_b,readImage,2,Method to read image on this entity/block.
func_110441_Q,updateDisplayMode,2,Method to update display mode on this minecraft.
func_110442_L,getResourceManager,2,Gets the resource manager of this minecraft.
func_110454_ao,getServerProxy,2,Gets the server proxY of this Minecraft server.
func_110461_a,getPackDescription,2,Gets the pack description of this entity/block.
func_110462_b,getPackFormat,2,Gets the pack format of this pack metadata section.
func_110468_c,getFrameIndex,2,Gets the frame indeX of this animation metadata section.
func_110469_d,getFrameTime,2,Gets the frame time of this animation metadata section.
func_110470_b,frameHasTime,2,Method to frame has time on this animation metadata section.
func_110471_a,getFrameHeight,2,Gets the frame height of this animation metadata section.
func_110472_a,getFrameTimeSingle,2,Gets the frame time single of this animation metadata section.
func_110473_c,getFrameCount,2,Gets the frame count of this animation metadata section.
func_110474_b,getFrameWidth,2,Gets the frame width of this animation metadata section.
func_110479_a,getTextureBlur,2,Gets the texture blur of this texture metadata section.
func_110480_b,getTextureClamp,2,Gets the texture clamp of this texture metadata section.
func_110483_a,getSectionName,2,The name of this section type as it appears in JSON.
func_110492_a,parseAnimationFrame,2,Method to parse animation frame on this animation metadata section serializer.
func_110495_a,hasNoTime,2,Checks if this animation frame no time.
func_110496_c,getFrameIndex,2,Gets the frame indeX of this animation frame.
func_110497_b,getFrameTime,2,Gets the frame time of this animation frame.
func_110503_a,parseMetadataSection,2,Method to parse metadata section on this i metadata serializer.
func_110504_a,registerMetadataSectionType,2,Method to register metadata section type on this i metadata serializer.
func_110505_a,getGson,2,Returns a Gson instance with type adapters registered for metadata sections.
func_110514_c,getResourcePack,2,Gets the resource pack of this resource pack repositionitory$ entry.
func_110515_d,getResourcePackName,2,Gets the resource pack name of this resource pack repositionitory$ entry.
func_110516_a,updateResourcePack,2,Method to update resource pack on this resource pack repositionitory$ entry.
func_110517_b,closeResourcePack,2,Method to close resource pack on this resource pack repositionitory$ entry.
func_110518_a,bindTexturePackIcon,2,Method to bind texture pack icon on this resource pack repositionitory$ entry.
func_110519_e,getTexturePackDescription,2,Gets the texture pack description of this resource pack repositionitory$ entry.
func_110526_a,getMetadata,2,Gets the metadata of this simple resource.
func_110527_b,getInputStream,2,Gets the input stream of this simple resource.
func_110528_c,hasMetadata,2,Checks if this simple resource is metadata.
func_110536_a,getResource,2,Gets the resource of this simple reloadable resource manager.
func_110537_b,getLocationMcmeta,2,Gets the location Minecraftmeta of this fallback resource manager.
func_110538_a,addResourcePack,2,Method to add resource pack on this fallback resource manager.
func_110541_a,reloadResources,2,Method to reload resources on this simple reloadable resource manager.
func_110542_a,registerReloadListener,2,Method to register reload listener on this simple reloadable resource manager.
func_110543_a,clearResources,2,Method to clear resources on this simple reloadable resource manager.
func_110544_b,notifyReloadListeners,2,Method to notify reload listeners on this simple reloadable resource manager.
func_110545_a,reloadResourcePack,2,Method to reload resource pack on this simple reloadable resource manager.
func_110549_a,onResourceManagerReload,2,Called when this sound handler resource manager reload.
func_110550_d,tick,2,Method to tick on this i tickable.
func_110551_a,loadTexture,2,Method to load texture on this i texture object.
func_110552_b,getGlTextureId,2,Gets the gl texture ID of this i texture object.
func_110554_a,getImageUrl,2,Gets the image url of this entity/block.
func_110555_b,getImageBuffer,2,Gets the image buffer of this entity/block.
func_110557_a,isTextureUploaded,2,Checks if this entity/block is texture uploaded.
func_110564_a,updateDynamicTexture,2,Method to update dynamic texture on this dynamic texture.
func_110565_c,getTextureData,2,Gets the texture data of this dynamic texture.
func_110569_e,initMissingImage,2,Method to init missing image on this texture map.
func_110571_b,loadTextureAtlas,2,Method to load texture atlas on this texture map.
func_110572_b,getAtlasSprite,2,Gets the atlas sprite of this texture map.
func_110573_f,registerIcons,2,Method to register icons on this texture map.
func_110577_a,bindTexture,2,Method to bind texture on this texture manager.
func_110578_a,getDynamicTextureLocation,2,Gets the dynamic texture location of this texture manager.
func_110579_a,loadTexture,2,Method to load texture on this texture manager.
func_110580_a,loadTickableTexture,2,Method to load tickable texture on this texture manager.
func_110581_b,getTexture,2,Gets the texture of this texture manager.
func_110586_a,getPackImage,2,Gets the pack image of this i resource pack.
func_110587_b,getResourceDomains,2,Gets the resource domAIns of this i resource pack.
func_110589_b,resourceExists,2,Method to resource exists on this i resource pack.
func_110590_a,getInputStream,2,Gets the input stream of this i resource pack.
func_110591_a,getInputStreamByName,2,Gets the input stream by name of this folder resource pack.
func_110592_c,locationToName,2,Method to location to name on this abstract resource pack.
func_110593_b,hasResourceName,2,Checks if this folder resource pack is resource name.
func_110594_c,logNameNotLowercase,2,Method to log name not lowercase on this abstract resource pack.
func_110595_a,getRelativeName,2,Gets the relative name of this abstract resource pack.
func_110596_a,readMetadata,2,Method to read metadata on this abstract resource pack.
func_110599_c,getResourcePackZipFile,2,Gets the resource pack zip file of this file resource pack.
func_110603_a,readAssetsDir,2,Method to read assets dir on this entity/block.
func_110604_a,addResourceFile,2,Method to add resource file on this entity/block.
func_110605_c,getResourceStream,2,Gets the resource stream of this default resource pack.
func_110609_b,getRepositoryEntriesAll,2,Gets the repositionitory entries all of this resource pack repositionitory.
func_110611_a,updateRepositoryEntriesAll,2,Method to update repositionitory entries all on this resource pack repositionitory.
func_110612_e,getDirResourcepacks,2,Gets the dir resourcepacks of this resource pack repositionitory.
func_110613_c,getRepositoryEntries,2,Gets the repositionitory entries of this resource pack repositionitory.
func_110614_g,getResourcePackFiles,2,Gets the resource pack files of this resource pack repositionitory.
func_110616_f,fixDirResourcepacks,2,Method to fix dir resourcepacks on this resource pack repositionitory.
func_110623_a,getResourcePath,2,Gets the resource path of this resource location.
func_110624_b,getResourceDomain,2,Gets the resource domAIn of this resource location.
func_110646_a,getTextWithoutFormattingCodes,2,"Returns a copy of the given string, with formatting codes stripped away."
func_110647_a,getOSType,2,Gets the os type of this util.
func_110661_a,parseDoubleBounded,2,"Parses a double from the given string.  Throws if the string could not be parsed as a double, or if it's not between the given min and max values."
func_110662_c,parseBoolean,2,"Parses a boolean value from the given string.  Throws if the string does not contain a boolean value.  Accepted values are (case-sensitive): ""true"", ""false"", ""0"", ""1""."
func_110664_a,parseDoubleWithMin,2,"Parses a double from the given string.  Throws if the string could not be parsed as a double, or if it's less than the given minimum value."
func_110682_a,setBoxRotation,2,Sets the rotations for a ModelRenderer in the ModelHorse class.
func_110683_a,updateHorseRotation,2,Fixes and offsets a rotation in the ModelHorse class.
func_110775_a,getEntityTexture,2,Returns the location of an entity's texture. Doesn't seem to be called unless you call Render.bindEntityTexture.
func_110776_a,bindTexture,2,Method to bind texture on this render.
func_110777_b,bindEntityTexture,2,Method to bind entity texture on this render.
func_110934_a,addSprite,2,Method to add sprite on this stitcher.
func_110935_a,getCurrentWidth,2,Gets the current width of this stitcher.
func_110936_b,getCurrentHeight,2,Gets the current height of this stitcher.
func_110966_b,setIconWidth,2,Sets the icon width of this texture atlas sprite.
func_110967_i,getOriginY,2,"Returns the Y position of this icon on its texture sheet, in pixels."
func_110968_a,setFramesTextureData,2,Sets the frames texture data of this texture atlas sprite.
func_110969_c,setIconHeight,2,Sets the icon height of this texture atlas sprite.
func_110970_k,getFrameCount,2,Gets the frame count of this texture atlas sprite.
func_110971_a,initSprite,2,Method to init sprite on this texture atlas sprite.
func_110985_a,updateAnaglyph,2,Method to update anaglyph on this texture util.
func_110986_a,readImageData,2,Method to read image data on this texture util.
func_110987_a,uploadTextureImage,2,Method to upload texture image on this texture util.
func_110988_a,uploadTexture,2,Method to upload texture on this texture util.
func_110989_a,uploadTextureImageAllocate,2,Method to upload texture image allocate on this texture util.
func_110990_a,copyToBuffer,2,Method to copy to buffer on this texture util.
func_110991_a,allocateTexture,2,Method to allocate texture on this texture util.
func_110993_a,uploadTextureImageSubImpl,2,Method to upload texture image sub impl on this texture util.
func_110994_a,copyToBufferPos,2,Method to copy to buffer positionition on this texture util.
func_110995_a,uploadTextureImageSub,2,Method to upload texture image sub on this texture util.
func_110996_a,glGenTextures,2,Method to gl gen textures on this texture util.
func_110997_a,setTextureClamped,2,Sets the texture clamped of this texture util.
func_111108_a,getAttributeUnlocalizedName,2,Gets the attribute unlocalized name of this base attribute.
func_111109_a,clampValue,2,Method to clamp value on this ranged attribute.
func_111110_b,getDefaultValue,2,Gets the default value of this base attribute.
func_111111_c,getShouldWatch,2,Gets the should watch of this base attribute.
func_111112_a,setShouldWatch,2,Sets the should watch of this base attribute.
func_111116_f,getDescription,2,Gets the description of this ranged attribute.
func_111117_a,setDescription,2,Sets the description of this ranged attribute.
func_111121_a,applyModifier,2,Method to apply modifier on this modifiable attribute instance.
func_111123_a,getAttribute,2,Get the Attribute this is an instance of
func_111124_b,removeModifier,2,Method to remove modifier on this modifiable attribute instance.
func_111125_b,getBaseValue,2,Gets the base value of this modifiable attribute instance.
func_111126_e,getAttributeValue,2,Gets the attribute value of this modifiable attribute instance.
func_111127_a,getModifier,2,"Returns attribute modifier, if any, by the given UUID"
func_111128_a,setBaseValue,2,Sets the base value of this modifiable attribute instance.
func_111129_g,computeValue,2,Method to compute value on this modifiable attribute instance.
func_111130_a,getModifiersByOperation,2,Gets the modifiers by operation of this modifiable attribute instance.
func_111131_f,flagForUpdate,2,Method to flag for update on this modifiable attribute instance.
func_111145_d,getWatchableObjectFloat,2,Gets the watchable object float of this data watcher.
func_111146_a,getAllAttributes,2,Gets the all attributes of this base attribute map.
func_111147_b,applyAttributeModifiers,2,Method to apply attribute modifiers on this base attribute map.
func_111148_a,removeAttributeModifiers,2,Method to remove attribute modifiers on this base attribute map.
func_111149_a,addAttributeInstance,2,Method to add attribute instance on this serverside attribute map.
func_111150_b,registerAttribute,2,"Registers an attribute with this AttributeMap, returns a modifiable AttributeInstance associated with this map"
func_111151_a,getAttributeInstance,2,Gets the attribute instance of this serverside attribute map.
func_111152_a,getAttributeInstanceByName,2,Gets the attribute instance by name of this serverside attribute map.
func_111160_c,getWatchedAttributes,2,Gets the watched attributes of this serverside attribute map.
func_111161_b,getAttributeInstanceSet,2,Gets the attribute instance set of this serverside attribute map.
func_111164_d,getAmount,2,Gets the amount of this attribute modifier.
func_111165_e,isSaved,2,@see #isSaved
func_111166_b,getName,2,Gets the name of this attribute modifier.
func_111167_a,getID,2,Gets the ID of this attribute modifier.
func_111168_a,setSaved,2,@see #isSaved
func_111169_c,getOperation,2,Gets the operation of this attribute modifier.
func_111175_f,getTargetDistance,2,Gets the target distance of this AI target entity.
func_111185_a,applyAttributesModifiersToEntity,2,Method to apply attributes modifiers to entity on this potion.
func_111187_a,removeAttributesModifiersFromEntity,2,Method to remove attributes modifiers from entity on this potion.
func_111191_d,getChunkWatcherList,2,Returns player instances as list
func_111194_a,processChunk,2,This method currently only increases chunk inhabited time. Extension is possible in next versions
func_111196_a,increaseInhabitedTime,2,Increases chunk inhabited time every 8000 ticks
func_111205_h,getItemAttributeModifiers,2,"Gets a map of item attribute modifiers, used by ItemSword to increase hit damage."
func_111206_d,setTextureName,2,Sets the texture name of this item.
func_111207_a,itemInteractionForEntity,2,"Returns true if the item can be used on the given entity, e.g. shears on sheep."
func_111208_A,getIconString,2,Returns the string associated with this Item's Icon.
func_111257_a,writeBaseAttributeMapToNBT,2,"Creates an NBTTagList from a BaseAttributeMap, including all its AttributeInstances"
func_111258_a,applyModifiersToAttributeInstance,2,Method to apply modifiers to attribute instance on this shared monster attributes.
func_111259_a,readAttributeModifierFromNBT,2,Creates an AttributeModifier from an NBTTagCompound
func_111261_a,writeAttributeInstanceToNBT,2,"Creates an NBTTagCompound from an AttributeInstance, including its AttributeModifiers"
func_111262_a,writeAttributeModifierToNBT,2,Creates an NBTTagCompound from an AttributeModifier
func_111271_a,getUnicodePageLocation,2,Gets the unicode page location of this font renderer.
func_111272_d,readFontTexture,2,Method to read font texture on this font renderer.
func_111282_a,interactWithEntity,2,Method to integereract with entity on this item stack.
func_111283_C,getAttributeModifiers,2,Gets the attribute modifiers for this ItemStack.
func_111285_a,getUsername,2,Gets the username of this session.
func_111286_b,getSessionID,2,Gets the session ID of this session.
func_130001_d,getCurrentMoonPhaseFactor,2,"gets the current fullness of the moon expressed as a float between 1.0 and 0.0, in steps of .25"
func_130002_c,interactFirst,2,First layer of player interaction
func_130010_a,getOriginX,2,"Returns the X position of this icon on its texture sheet, in pixels."
func_130011_c,setLastAttacker,2,Sets the last attacker of this living entity.
func_130014_f_,getEntityWorld,2,Gets the entity world of this player.
func_130071_aq,getSystemTimeMillis,2,"returns the difference, measured in milliseconds, between the current system time and midnight, January 1, 1970 UTC."
func_130072_d,getAnimationFrame,2,Gets the animation frame of this animation metadata section.
func_130073_e,getFrameIndexSet,2,Gets the frame index set of this animation metadata section.
func_130077_b,getPackName,2,Gets the pack name of this i resource pack.
func_130086_a,getTextureType,2,Gets the texture type of this texture map.
func_130087_a,getResourceLocation,2,Gets the resource location of this texture manager.
func_130088_a,loadTextureMap,2,Method to load texture map on this texture manager.
func_130098_m,hasAnimationMetadata,2,Checks if this texture atlas sprite is animation metadata.
func_130099_d,allocateFrameTextureData,2,Method to allocate frame texture data on this texture atlas sprite.
func_130102_n,resetSprite,2,Method to reset sprite on this texture atlas sprite.
func_130103_l,clearFramesTextureData,2,Method to clear frames texture data on this texture atlas sprite.
func_130105_g,getMinecraftStartTimeMillis,2,Returns the saved value of System#currentTimeMillis when the game started
func_135016_M,getLanguageManager,2,Gets the language manager of this minecraft.
func_135018_a,getLanguages,2,Gets the languages of this language metadata section.
func_135021_a,loadLocaleData,2,Method to load locale data on this locale.
func_135022_a,loadLocaleDataFiles,2,"par2 is a list of languages. For each language $L and domain $D, attempts to load the resource $D:lang/$L.lang"
func_135023_a,formatMessage,2,"Calls String.format(translateKey(key), params)"
func_135024_b,checkUnicode,2,Method to check unicode on this locale.
func_135025_a,isUnicode,2,Checks if this locale is unicode.
func_135026_c,translateKeyPrivate,2,"Returns the translation, or the key itself if the key could not be translated."
func_135028_a,loadLocaleData,2,par1 is a list of Resources
func_135034_a,getLanguageCode,2,Gets the language code of this language.
func_135035_b,isBidirectional,2,Checks if this language is bidirectional.
func_135040_d,getLanguages,2,Gets the languages of this language manager.
func_135041_c,getCurrentLanguage,2,Gets the current language of this language manager.
func_135042_a,isCurrentLocaleUnicode,2,Checks if this language manager is current locale unicode.
func_135043_a,parseLanguageMetadata,2,Method to parse language metadata on this language manager.
func_135044_b,isCurrentLanguageBidirectional,2,Checks if this language manager is current language bidirectional.
func_135045_a,setCurrentLanguage,2,Sets the current language of this language manager.
func_135051_a,setLocale,2,Sets the locale of this i18n.
func_135052_a,format,2,"format(a, b) is equivalent to String.format(translate(a), b). Args: translationKey, params..."
func_135055_a,getResourceDomains,2,Gets the resource domAIns of this simple reloadable resource manager.
func_135056_b,getAllResources,2,Gets the all resources of this simple reloadable resource manager.
func_135058_a,getPackMetadata,2,Gets the pack metadata of this i resource pack.
func_135063_a,replaceWith,2,Replaces all the current instance's translations with the ones that are passed in.
func_135064_c,tryTranslateKey,2,Tries to look up a translation for the given key; spits back the key if no result was found.
func_142008_O,shouldSetPosAfterLoading,2,Method to should set positionition after loading on this hanging entity.
func_142012_a,isOnTeam,2,Returns true if the entity is on a specific team.
func_142013_aG,getLastAttackerTime,2,Gets the last attacker time of this living entity.
func_142014_c,isOnSameTeam,2,Checks if this tameable entity is on same team.
func_142019_cb,getOwnerName,2,Gets the owner name of this entity/block.
func_142030_c,getMinecraft,2,Gets the minecraft of this entity/block.
func_142049_d,removeAllModifiers,2,Method to remove all modifiers on this modifiable attribute instance.
func_142054_a,isSameTeam,2,Same as ==
func_145747_a,addChatMessage,2,"Notifies this sender of some sort of information.  This is for messages intended to display to the user.  Used for typical output (like ""you asked for whether or not this game rule is set, so here's your answer""), warnings (like ""I fetched this block for you by ID, but I'd like you to know that every time you do this, I die a little inside""), and errors (like ""it's not called iron_pixacke, silly"")."
func_145769_d,setEntityId,2,Sets the entity ID of this entity.
func_145770_h,isInRangeToRender3d,2,Checks if this entity is in range to render3d.
func_145773_az,doesEntityNotTriggerPressurePlate,2,Method to does entity not trigger pressure plate on this bat entity.
func_145776_H,getSwimSound,2,Gets the swim sound of this player.
func_145777_O,getSplashSound,2,Gets the splash sound of this player.
func_145782_y,getEntityId,2,Gets the entity ID of this entity.
func_145818_k_,isInventoryNameLocalized,2,Returns if the inventory name is localized
func_145825_b,getInventoryName,2,Returns the name of the inventory
func_145827_c,createAndLoadEntity,2,Creates a new entity and loads its data from the specified NBT.
func_145829_t,validate,2,validates a tile entity
func_145830_o,hasWorldObj,2,Returns true if the worldObj isn't null.
func_145831_w,getWorldObj,2,Returns the worldObj for this tileEntity.
func_145832_p,getBlockMetadata,2,Gets the block metadata of this piston tile entity.
func_145833_n,getMaxRenderDistanceSquared,2,Gets the max render distance squared of this tile entity.
func_145834_a,setWorldObj,2,Sets the worldObj for this tileEntity.
func_145835_a,getDistanceFrom,2,Returns the square of the distance between this entity and the passed in coordinates.
func_145836_u,updateContainingBlockInfo,2,Method to update contAIning block info on this chest tile entity.
func_145837_r,isInvalid,2,Checks if this tile entity is invalid.
func_145838_q,getBlockType,2,Gets the block type at the location of this entity (client-only).
func_145839_a,readFromNBT,2,Reads this piston tile entity's data/state from NBT.
func_145841_b,writeToNBT,2,Writes this piston tile entity's data/state to NBT.
func_145842_c,receiveClientEvent,2,Method to receive client event on this mob spawner tile entity.
func_145843_s,invalidate,2,invalidates a tile entity
func_145844_m,getDescriptionPacket,2,Overriden in a sign to provide the text.
func_145845_h,updateEntity,2,Method to update entity on this piston tile entity.
func_146026_a,consumeInventoryItem,2,Method to consume inventory item on this inventory player.
func_146027_a,clearInventory,2,"Removes all items from player inventory, including armor"
func_146028_b,hasItem,2,Checks if this inventory player is item.
func_146096_a,getCurrentPlayerStrVsBlock,2,Returns how strong the player is against the specified block at this moment
func_146099_a,canHarvestBlock,2,Checks if the player has the ability to harvest a block (checks current inventory item for a tool if necessary)
func_146103_bH,getGameProfile,2,Returns the GameProfile for this player
func_146105_b,addChatComponentMessage,2,Method to add chat component message on this player.
func_146112_a,drawButton,2,Draws this button to the screen.
func_146114_a,getHoverState,2,Gets the hover state of this gui screen options sounds$ button.
func_146116_c,mousePressed,2,Returns true if the mouse has been pressed on this control. Equivalent of MouseListener.mousePressed(MouseEvent e).
func_146118_a,mouseReleased,2,Fired when the mouse button is released. Equivalent of MouseListener.mouseReleased(MouseEvent e).
func_146119_b,mouseDragged,2,Fired when the mouse button is dragged. Equivalent of MouseListener.mouseDragged(MouseEvent e).
func_146158_b,getChatGUI,2,Gets the chat GUI of this gui ingame.
func_146178_a,updateCursorCounter,2,Increments the cursor counter
func_146179_b,getText,2,Returns the contents of the textbox
func_146180_a,setText,2,Sets the text of the textbox
func_146192_a,mouseClicked,2,"Args: x, y, buttonClicked"
func_146194_f,drawTextBox,2,Draws the textbox
func_146195_b,setFocused,2,Sets focus to this gui element
func_146201_a,textboxKeyTyped,2,Call this method from your GuiScreen to process the keys into the textbox
func_146206_l,isFocused,2,Getter for the focused field
func_146240_d,resetScroll,2,Method to reset scroll on this gui new chat.
func_146269_k,handleInput,2,Delegates mouse and keyboard input.
func_146271_m,isCtrlKeyDown,2,Returns true if either windows ctrl key is down or if either mac meta key is down
func_146272_n,isShiftKeyDown,2,Returns true if either shift key is down
func_146273_a,mouseClickMove,2,Method to mouse click move on this gui contAIner.
func_146274_d,handleMouseInput,2,Handles mouse input.
func_146275_d,setClipboardString,2,Stores the given string in the system clipboard
func_146276_q_,drawDefaultBackground,2,Method to draw default background on this gui screen.
func_146277_j,getClipboardString,2,Returns a string stored in the system clipboard.
func_146280_a,setWorldAndResolution,2,Causes the screen to lay out its subcomponents again. This is the equivalent of the Java call Container.validate()
func_146281_b,onGuiClosed,2,"""Called when the screen is unloaded. Used to disable keyboard repeat events."""
func_146282_l,handleKeyboardInput,2,Handles keyboard input.
func_146284_a,actionPerformed,2,Method to action performed on this gui twitch user mode.
func_146286_b,mouseMovedOrUp,2,Method to mouse moved or up on this gui screen resource packs.
func_147106_B,scheduleResourcesRefresh,2,Method to schedule resources refresh on this minecraft.
